iteration, nr_elements, global_error, exact_error
4, 286, 0.6310628163280263, 0.7516342504119564
5, 555, 0.3468839748758224, 0.3730598342656955
6, 1097, 0.18797381492665088, 0.1805882746988333
7, 2193, 0.12177608815041609, 0.10099986422758593
8, 4186, 0.051563295597951864, 0.053390455110789464
9, 8502, 0.025244301822500627, 0.02562389302325334
10, 16666, 0.010843619421405307, 0.011486908070936115
11, 31906, 0.004968703269447366, 0.005777120491555585
1, 59, 0.8955652145489973, 1.1690890037354051
2, 118, 0.5342291395855968, 0.5997050280495781
3, 221, 0.2878720587314366, 0.30701471970619876
4, 408, 0.15573546372970676, 0.1594454800106532
5, 807, 0.0818093637072853, 0.0798122450212028
6, 1577, 0.0414331191503101, 0.040067715144776396
7, 3135, 0.020994343919962057, 0.020062822011528432
8, 6240, 0.010320717367505406, 0.010040391572300487
9, 12470, 0.0051832982757980305, 0.005024432245650096
1, 59, 3.196509364001121, 3.566307041779387
2, 115, 1.5619191290542702, 1.7485029342572305
3, 220, 0.7987568031091309, 0.8533475464266201
4, 440, 0.38561403803885075, 0.41637829372186796
5, 881, 0.20381041494901994, 0.20655836383878037
6, 1754, 0.10935794281671757, 0.10296165699911343
7, 3499, 0.054811142036556945, 0.051290373539393905
8, 7026, 0.0263415438263771, 0.025468770881863396
9, 14095, 0.013221273439617875, 0.012684007461739559
10, 28238, 0.006405899248374324, 0.0063256789439771755
1, 59, 2.1293986668769924, 2.6324343650883133
2, 118, 1.1166473828386374, 1.2779750987464926
3, 228, 0.5703320928789457, 0.6223522891761857
4, 448, 0.28573765064587253, 0.30636199181108587
5, 894, 0.1494524305961416, 0.15032481750206386
6, 1766, 0.07995155603634754, 0.07531411438018844
7, 3550, 0.03959612218547747, 0.03715775727346467
8, 7115, 0.019067716998269493, 0.01848633313149741
9, 14273, 0.009542877468352197, 0.009198691087095295
1, 59, 2.543289778657284, 2.873313282496953
2, 112, 1.3519107882395773, 1.9256136543222075
3, 219, 0.7429773778907253, 0.8682727581821678
4, 402, 0.37977116907208425, 0.42402938615448693
5, 784, 0.20201151063747894, 0.212689917562595
6, 1536, 0.1165156385798393, 0.10572591602140119
7, 3051, 0.05923530840101922, 0.052816086734272814
8, 6116, 0.027449694351089675, 0.02632294528394746
9, 12256, 0.013527132346699673, 0.013034860538978968
10, 24439, 0.006642592182241935, 0.0065235459458025035
1, 59, 1.7591035125703454, 2.507669225939971
2, 110, 1.0847643322425484, 1.3493889070500455
3, 216, 0.555131156928595, 0.6175797183533751
4, 418, 0.2789065986503739, 0.3021613167129001
5, 806, 0.1492727741121677, 0.1520886774174818
6, 1597, 0.08113517096583724, 0.07685134634269931
7, 3163, 0.040577099314013536, 0.038109549878090634
8, 6314, 0.01961756542525094, 0.019026856319636024
9, 12640, 0.009801035285593914, 0.009476755867872274
1, 59, 1.342359487274997, 1.2909323148440464
2, 103, 0.687639120902408, 0.7082654071859631
3, 191, 0.33506875201766323, 0.3408200754704182
4, 376, 0.16768271828732503, 0.16557549804954996
5, 748, 0.08481035966456726, 0.08158886449927685
6, 1492, 0.04094367904515861, 0.04094969899696743
7, 2970, 0.02059668951287924, 0.02033934076318335
8, 5947, 0.010406716817988482, 0.010140601969325841
9, 11882, 0.005246843370371395, 0.005061648302564041
1, 59, 3.696776590073344, 3.9299661047783023
2, 110, 1.750765078038884, 1.9675501844374017
3, 207, 0.8869841099256426, 0.9764266881913746
4, 408, 0.44767328929960293, 0.4892567328638999
5, 818, 0.22895811001037178, 0.23450323585141158
6, 1631, 0.12488566994567521, 0.11724248005538258
7, 3251, 0.06356332013051147, 0.05852455690222858
8, 6547, 0.030129081409783105, 0.028931295680911386
9, 13167, 0.01498496639089022, 0.014350550396230188
10, 26387, 0.007243782486249244, 0.007143791937417077
1, 59, 3.010646072713018, 4.112219498491404
2, 108, 1.756986383303762, 2.2010924395226543
3, 207, 0.906667039732618, 1.0683745966695106
4, 402, 0.45685250607759664, 0.5188300887107995
5, 800, 0.24157568834112328, 0.25484133068629855
6, 1583, 0.13248931563144145, 0.12604599029365582
7, 3142, 0.06789166665049731, 0.06304873508299294
8, 6319, 0.03240814225047576, 0.031183695154470736
9, 12706, 0.01611137999960645, 0.015465736490436966
10, 25483, 0.007812484076331356, 0.007693603846514682
1, 59, 2.9658946287767143, 3.01002023487533
2, 113, 1.427620211353489, 1.5189347534712943
3, 215, 0.7036623979373059, 0.7944848061832246
4, 428, 0.3531370248660855, 0.38930469070966633
5, 854, 0.19508140742769334, 0.19054955126795975
6, 1688, 0.10340982592420452, 0.09452607813740221
7, 3384, 0.05639600941583626, 0.046908193878386246
8, 6794, 0.02701740367397112, 0.023317845084935975
9, 13776, 0.012494618167986552, 0.011540337059128271
10, 27570, 0.005681285552071633, 0.005716560939216775
1, 59, 2.57308714442437, 3.1332684945093727
2, 110, 1.2716924648371588, 1.6765319552030695
3, 210, 0.7067329466161796, 0.8381739392787873
4, 403, 0.35688888945718417, 0.40319941682574867
5, 799, 0.20220704937865355, 0.20091697332860542
6, 1585, 0.10790542598596584, 0.09869699646724882
7, 3179, 0.057250422572977355, 0.04875269698943062
8, 6393, 0.02873540449683645, 0.024012532614753054
9, 13045, 0.012894380428872464, 0.011799703015399203
10, 26362, 0.00581654419029148, 0.005811340741691075
1, 59, 3.5280773970832784, 4.002220468762978
2, 110, 1.7757796512857567, 2.036888282974281
3, 202, 0.8608409361756292, 1.040285898157298
4, 388, 0.43250891291537996, 0.5368486114585782
5, 773, 0.2483175703857208, 0.2630927880708629
6, 1527, 0.13615125045684365, 0.12864450908684857
7, 3057, 0.07300370435215031, 0.06364530327546822
8, 6185, 0.03710298129092259, 0.031266826936173345
9, 12625, 0.016686796070618317, 0.015255038966279638
10, 25552, 0.007502965583171586, 0.007509437808123711
1, 59, 2.9628799291519354, 2.931484495781181
2, 110, 1.289651226159685, 1.4419875725955473
3, 220, 0.6452701031776656, 0.7201828293290298
4, 433, 0.3237733656149726, 0.35536032912873017
5, 862, 0.18779825371554568, 0.1794273848913352
6, 1707, 0.1015943201149099, 0.08861578026421225
7, 3350, 0.05533584034667787, 0.04454873786232139
8, 6619, 0.026473904959971553, 0.02255195170031354
9, 13289, 0.012427633026413643, 0.01127782428876961
10, 26684, 0.005469583408166259, 0.005565583304467294
1, 59, 1.8462524996704768, 1.7821364093464924
2, 115, 0.8691798409932114, 1.0807540516045555
3, 222, 0.44636761051884855, 0.5146408087781911
4, 420, 0.237510577160458, 0.25386813506900674
5, 816, 0.13186129539184913, 0.12738818443255454
6, 1610, 0.06612442577268995, 0.06344143225458236
7, 3211, 0.03893565578246355, 0.03145659050804519
8, 6361, 0.018220409579648374, 0.015752139082943543
9, 12866, 0.008357595695962531, 0.0077974355849867215
1, 59, 4.039985655188209, 3.8979670522882355
2, 107, 1.5821878470997734, 1.76806882706467
3, 212, 0.741910361328273, 0.8536943132949453
4, 421, 0.36594263579505587, 0.4135893984445141
5, 844, 0.2106792327703392, 0.20504294448665938
6, 1691, 0.11603850715330574, 0.10149677846717348
7, 3367, 0.061775697875208584, 0.050634659067816196
8, 6810, 0.028827241614177084, 0.024993215480368862
9, 13700, 0.01339098514743198, 0.012430282003612847
10, 27393, 0.005930784385420606, 0.006200908899066395
1, 59, 1.844123803154361, 1.8368358213548552
2, 114, 0.9144034829047404, 1.0735667686799866
3, 214, 0.46031263789120347, 0.530143406782206
4, 408, 0.24620482181924147, 0.26162848086597207
5, 806, 0.13369113313162292, 0.12927295617394188
6, 1593, 0.06770681548271099, 0.0643497430001722
7, 3183, 0.039172772376934895, 0.03226650930496106
8, 6317, 0.018519837731667675, 0.016449624819096686
9, 12733, 0.008617701024448622, 0.008098267474821832
1, 59, 3.5952861894177652, 3.1851260365490064
2, 106, 1.4760111654873802, 1.625787078478209
3, 209, 0.7303421628160928, 0.8167711659279625
4, 412, 0.38018639556625156, 0.40479644561537587
5, 833, 0.20913960506807125, 0.19754501299778973
6, 1665, 0.11306260280958108, 0.09819258828804629
7, 3334, 0.060367429549121485, 0.04844479182724449
8, 6732, 0.027736517566107496, 0.02385786515974166
9, 13662, 0.012797363826153445, 0.011776960359705902
10, 27535, 0.005628234105643027, 0.005803393980375448
1, 59, 0.5477403321485644, 0.7021920615935173
2, 119, 0.34292366163622773, 0.39149347978006477
3, 231, 0.20166281591019872, 0.19218737146061465
4, 440, 0.11026422480921935, 0.09602003474160148
5, 850, 0.05354019965427023, 0.04783080429635585
6, 1676, 0.030126545373165652, 0.02395786135397826
7, 3285, 0.016593863352943338, 0.01212885564431876
8, 6784, 0.006511808043423493, 0.005921357395804879
1, 59, 2.859180501566802, 3.0883378403667208
2, 111, 1.360005282502387, 1.430590386554541
3, 215, 0.645856582549632, 0.739137476678924
4, 429, 0.34032506688355346, 0.37252850996548187
5, 868, 0.18562003728968776, 0.178954338517518
6, 1734, 0.09838438612478483, 0.08780360101498731
7, 3425, 0.05214037758841842, 0.044162058865599964
8, 6810, 0.025687863111623545, 0.022425682301120034
9, 13698, 0.011925743319804975, 0.010964484640223779
10, 27453, 0.0053575326378304585, 0.005451701096440544
1, 59, 3.458462786712752, 3.9868504803316402
2, 108, 1.7629783617421382, 2.168199493922714
3, 197, 0.8945820433672261, 1.0853295763501978
4, 373, 0.43870537651881164, 0.543790216884029
5, 745, 0.24621537334116753, 0.2632497935913642
6, 1462, 0.1374677657183175, 0.13118958290190666
7, 2910, 0.07469687936169402, 0.06558359283469192
8, 5915, 0.037424969136135626, 0.03186240927421079
9, 12041, 0.0171235444601489, 0.015655285098373963
10, 24360, 0.007744048216810355, 0.007791162257012935
1, 59, 0.9822459839955535, 1.0168011548555613
2, 105, 0.5343575956593718, 0.5464168912637268
3, 198, 0.27984813391147334, 0.2929867900605245
4, 390, 0.15238699953997012, 0.1428074212177693
5, 769, 0.07933371738039231, 0.07091879860520053
6, 1527, 0.04050861050777858, 0.035916035414616486
7, 3040, 0.024595941462305596, 0.017810954810504636
8, 6171, 0.009891465958474344, 0.008990045005234922
1, 59, 2.8895189143605102, 2.5847073192226646
2, 100, 1.2820725571749751, 1.5962652486203766
3, 187, 0.6589815134716055, 0.7952087346842895
4, 356, 0.331790688481784, 0.38170770546420124
5, 709, 0.18159241748949143, 0.18703627649927307
6, 1407, 0.09814163410708807, 0.09202984291823071
7, 2795, 0.05276132317088246, 0.045708162267763267
8, 5580, 0.026806123460387837, 0.022940791521668905
9, 11318, 0.012141547621586826, 0.011191788485255658
10, 22835, 0.005601881071995759, 0.005512019748150802
1, 59, 3.5893818349181674, 4.20670500764243
2, 114, 1.7716571510697074, 1.9725483988150396
3, 218, 0.8140383148003968, 1.0112323026922128
4, 421, 0.4025217816940528, 0.49191154027854633
5, 844, 0.23596288197058585, 0.2460367700173941
6, 1681, 0.13009876148294688, 0.12073777628574746
7, 3358, 0.07052983378415775, 0.05946661558449897
8, 6773, 0.034644344258992675, 0.029273741765405054
9, 13713, 0.015829063909548004, 0.014525084063788187
10, 27544, 0.007063116084943089, 0.007255553475277159
11, 55744, 0.0034038489761045268, 0.0035256758702822003
1, 59, 3.540028785467718, 3.8832183603114974
2, 106, 1.7162807592928964, 1.9309301654517235
